date/time: ,26/10/2022,05:17 p.m.
Run 1

time	(N)
5,453333	2,848501E+0
5,460000	2,772689E+0
5,466667	2,672754E+0
5,473333	2,596942E+0
5,480000	2,510791E+0
5,486667	2,455655E+0
5,493333	2,362613E+0
5,500000	2,304030E+0
5,506667	2,259232E+0
5,513333	2,179974E+0
5,520000	2,124837E+0
5,526667	2,042133E+0
5,533333	1,931860E+0
5,540000	1,876724E+0
5,546667	1,804358E+0
5,553333	1,766451E+0
5,560000	1,694085E+0
5,566667	1,683747E+0
5,573333	1,659625E+0
5,580000	1,635503E+0
5,586667	1,635503E+0
5,593333	1,673409E+0
5,600000	1,635503E+0
5,606667	1,656179E+0
5,613333	1,680301E+0
5,620000	1,663071E+0
5,626667	1,663071E+0
5,633333	1,666517E+0
5,640000	1,676855E+0
5,646667	1,711315E+0
5,653333	1,759559E+0
5,660000	1,797466E+0
5,666667	1,880170E+0
5,673333	1,945644E+0
5,680000	2,004227E+0
5,686667	2,111053E+0
5,693333	2,193758E+0
5,700000	2,248894E+0
5,706667	2,335044E+0
5,713333	2,414303E+0
5,720000	2,479777E+0
5,726667	2,531468E+0
5,733333	2,596942E+0
5,740000	2,696876E+0
5,746667	2,758905E+0
5,753333	2,869177E+0
5,760000	2,938098E+0
5,766667	3,069046E+0
5,773333	3,151751E+0
5,780000	3,268916E+0
5,786667	3,355066E+0
5,793333	3,434324E+0
5,800000	3,506691E+0
5,806667	3,575611E+0
5,813333	3,599733E+0
5,820000	3,661762E+0
5,826667	3,723790E+0
5,833333	3,765142E+0
5,840000	3,820279E+0
5,846667	3,882307E+0
5,853333	3,930551E+0
5,860000	3,985688E+0
5,866667	4,023594E+0
5,873333	4,047716E+0
5,880000	4,075284E+0
5,886667	4,095960E+0
5,893333	4,085622E+0
5,900000	4,068392E+0
5,906667	4,040824E+0
5,913333	4,013256E+0
5,920000	3,975349E+0
5,926667	3,958119E+0
5,933333	3,927105E+0
5,940000	3,889199E+0
5,946667	3,878861E+0
5,953333	3,834063E+0
5,960000	3,768588E+0
5,966667	3,751358E+0
5,973333	3,699668E+0
5,980000	3,599733E+0
5,986667	3,513583E+0
5,993333	3,423986E+0
6,000000	3,341282E+0
6,006667	3,231009E+0
6,013333	3,155197E+0
6,020000	3,058708E+0
6,026667	2,996680E+0
6,033333	2,882961E+0
6,040000	2,848501E+0
6,046667	2,769243E+0
6,053333	2,693430E+0
6,060000	2,607280E+0
6,066667	2,538360E+0
6,073333	2,434979E+0
6,080000	2,345383E+0
6,086667	2,252340E+0
6,093333	2,148959E+0
6,100000	2,062809E+0
6,106667	2,000781E+0
6,113333	1,935306E+0
6,120000	1,876724E+0
6,126667	1,845710E+0
6,133333	1,821588E+0
6,140000	1,794019E+0
6,146667	1,749221E+0
6,153333	1,721653E+0
6,160000	1,707869E+0
6,166667	1,690639E+0
6,173333	1,649287E+0
6,180000	1,618273E+0
6,186667	1,594150E+0
6,193333	1,563136E+0
6,200000	1,590704E+0
6,206667	1,625165E+0
6,213333	1,652733E+0
6,220000	1,690639E+0
6,226667	1,756113E+0
6,233333	1,794019E+0
6,240000	1,852602E+0
6,246667	1,904292E+0
6,253333	1,966320E+0
6,260000	2,004227E+0
6,266667	2,045579E+0
6,273333	2,097269E+0
6,280000	2,152405E+0
6,286667	2,228218E+0
6,293333	2,297138E+0
6,300000	2,393627E+0
6,306667	2,490115E+0
6,313333	2,576266E+0
6,320000	2,672754E+0
6,326667	2,783027E+0
6,333333	2,851947E+0
6,340000	2,955328E+0
6,346667	3,048370E+0
6,353333	3,124183E+0
6,360000	3,203441E+0
6,366667	3,248239E+0
6,373333	3,324052E+0
6,380000	3,399864E+0
6,386667	3,475677E+0
6,393333	3,558381E+0
6,400000	3,641086E+0
6,406667	3,727236E+0
6,413333	3,803049E+0
6,420000	3,851293E+0
6,426667	3,916767E+0
6,433333	3,940889E+0
6,440000	3,978795E+0
6,446667	4,009810E+0
6,453333	4,023594E+0
6,460000	4,013256E+0
6,466667	4,002918E+0
6,473333	4,006364E+0
6,480000	4,016702E+0
6,486667	4,037378E+0
6,493333	4,037378E+0
6,500000	4,037378E+0
6,506667	4,030486E+0
6,513333	4,016702E+0
6,520000	3,971903E+0
6,526667	3,920213E+0
6,533333	3,861631E+0
6,540000	3,799602E+0
6,546667	3,730682E+0
6,553333	3,668654E+0
6,560000	3,568719E+0
6,566667	3,510137E+0
6,573333	3,437771E+0
6,580000	3,382634E+0
6,586667	3,320606E+0
6,593333	3,251685E+0
6,600000	3,175873E+0
6,606667	3,086277E+0
6,613333	3,007018E+0
6,620000	2,917422E+0
6,626667	2,814041E+0
6,633333	2,703768E+0
6,640000	2,603834E+0
6,646667	2,503899E+0
6,653333	2,417749E+0
6,660000	2,352275E+0
6,666667	2,279908E+0
6,673333	2,214434E+0
6,680000	2,148959E+0
6,686667	2,090377E+0
6,693333	2,035241E+0
6,700000	1,983551E+0
6,706667	1,938752E+0
6,713333	1,873278E+0
6,720000	1,794019E+0
6,726667	1,749221E+0
6,733333	1,694085E+0
6,740000	1,645841E+0
6,746667	1,614826E+0
6,753333	1,601042E+0
6,760000	1,632057E+0
6,766667	1,621719E+0
6,773333	1,625165E+0
6,780000	1,649287E+0
6,786667	1,673409E+0
