t,V1,V2
-0.0206,-0.32,3.92
-0.020560000000000002,-0.32,3.84
-0.02052,-0.24,3.84
-0.02048,-0.24,3.84
-0.02044,-0.24,3.84
-0.0204,-0.16,3.84
-0.02036,-0.08,3.84
-0.02032,-0.08,3.84
-0.02028,-0.08,3.84
-0.02024,0.0,3.92
-0.0202,0.08,3.84
-0.02016,0.08,3.84
-0.02012,0.08,3.84
-0.02008,0.16,3.84
-0.02004,0.24,3.84
-0.02,0.24,3.84
-0.019960000000000002,0.32,3.84
-0.01992,0.32,3.84
-0.019880000000000002,0.4,3.84
-0.01984,0.4,3.84
-0.0198,0.48,3.84
-0.01976,0.56,3.84
-0.01972,0.56,3.84
-0.01968,0.56,3.84
-0.01964,0.72,3.84
-0.0196,0.72,3.7600000000000002
-0.01956,0.72,3.7600000000000002
-0.01952,0.8,3.7600000000000002
-0.01948,0.8,3.7600000000000002
-0.01944,0.8,3.7600000000000002
-0.0194,0.88,3.7600000000000002
-0.01936,0.88,3.7600000000000002
-0.01932,0.96,3.68
-0.01928,1.04,3.68
-0.01924,1.04,3.68
-0.019200000000000002,1.04,3.68
-0.01916,1.12,3.6
-0.01912,1.12,3.6
-0.01908,1.2,3.6
-0.01904,1.28,3.6
-0.019,1.28,3.6
-0.01896,1.36,3.52
-0.01892,1.36,3.52
-0.01888,1.44,3.52
-0.01884,1.44,3.52
-0.0188,1.52,3.44
-0.01876,1.52,3.52
-0.01872,1.52,3.44
-0.018680000000000002,1.6,3.36
-0.018639999999999997,1.6,3.36
-0.0186,1.68,3.36
-0.01856,1.68,3.36
-0.018520000000000002,1.68,3.36
-0.018480000000000003,1.76,3.2800000000000002
-0.018439999999999998,1.76,3.2
-0.0184,1.84,3.2
-0.01836,1.92,3.2
-0.018320000000000003,1.92,3.2
-0.018279999999999998,1.92,3.12
-0.01824,2.0,3.12
-0.0182,2.0,3.12
-0.018160000000000003,2.0,3.04
-0.018119999999999997,2.08,3.04
-0.01808,2.08,3.04
-0.01804,2.16,2.96
-0.018000000000000002,2.16,2.88
-0.017959999999999997,2.16,2.88
-0.01792,2.24,2.88
