date/time: ,28/09/2022,05:47 p.m.
Run 1

time	(V)
52,334667	4,508591E+0
52,335333	4,508591E+0
52,336000	4,513622E+0
52,336667	4,516137E+0
52,337333	4,508591E+0
52,338000	4,523684E+0
52,338667	4,518653E+0
52,339333	4,516137E+0
52,340000	4,516137E+0
52,340667	4,516137E+0
52,341333	4,511106E+0
52,342000	4,516137E+0
52,342667	4,513622E+0
52,343333	4,511106E+0
52,344000	4,511106E+0
52,344667	4,513622E+0
52,345333	4,511106E+0
52,346000	4,506076E+0
52,346667	4,506076E+0
52,347333	4,503560E+0
52,348000	4,496014E+0
52,348667	4,503560E+0
52,349333	4,508591E+0
52,350000	4,506076E+0
52,350667	4,511106E+0
52,351333	4,508591E+0
52,352000	4,511106E+0
52,352667	4,511106E+0
52,353333	4,508591E+0
52,354000	4,508591E+0
52,354667	4,516137E+0
52,355333	4,518653E+0
52,356000	4,518653E+0
52,356667	4,516137E+0
52,357333	4,516137E+0
52,358000	4,511106E+0
52,358667	4,511106E+0
52,359333	4,511106E+0
52,360000	4,513622E+0
52,360667	4,511106E+0
52,361333	4,513622E+0
52,362000	4,508591E+0
52,362667	4,506076E+0
52,363333	4,508591E+0
52,364000	4,508591E+0
52,364667	4,506076E+0
52,365333	4,506076E+0
52,366000	4,503560E+0
52,366667	4,511106E+0
52,367333	4,513622E+0
52,368000	4,506076E+0
52,368667	4,508591E+0
52,369333	4,511106E+0
52,370000	4,516137E+0
52,370667	4,516137E+0
52,371333	4,516137E+0
52,372000	4,516137E+0
52,372667	4,516137E+0
52,373333	4,513622E+0
52,374000	4,518653E+0
52,374667	4,516137E+0
52,375333	4,516137E+0
52,376000	4,508591E+0
52,376667	4,508591E+0
52,377333	4,513622E+0
52,378000	4,513622E+0
52,378667	4,511106E+0
52,379333	4,511106E+0
52,380000	4,511106E+0
52,380667	4,511106E+0
52,381333	4,511106E+0
52,382000	4,511106E+0
52,382667	4,508591E+0
52,383333	4,506076E+0
52,384000	4,511106E+0
52,384667	4,508591E+0
52,385333	4,506076E+0
52,386000	4,506076E+0
52,386667	4,506076E+0
52,387333	4,503560E+0
52,388000	4,503560E+0
52,388667	4,511106E+0
52,389333	4,503560E+0
52,390000	4,506076E+0
52,390667	4,503560E+0
52,391333	4,503560E+0
52,392000	4,503560E+0
52,392667	4,503560E+0
52,393333	4,506076E+0
52,394000	4,508591E+0
52,394667	4,506076E+0
52,395333	4,503560E+0
52,396000	4,508591E+0
52,396667	4,508591E+0
52,397333	4,511106E+0
52,398000	4,516137E+0
52,398667	4,513622E+0
52,399333	4,511106E+0
52,400000	4,511106E+0
52,400667	4,513622E+0
52,401333	4,508591E+0
52,402000	4,511106E+0
52,402667	4,513622E+0
52,403333	4,508591E+0
52,404000	4,518653E+0
52,404667	4,516137E+0
52,405333	4,518653E+0
52,406000	4,521168E+0
52,406667	4,516137E+0
52,407333	4,521168E+0
