Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.005
Label,,
TIME,CH1,CH2
-2.8160e-04,-9.8,0.0004
-2.8144e-04,-9.8,0.0006
-2.8128e-04,-9.8,0.0006
-2.8112e-04,-9.8,0.0008
-2.8096e-04,-9.8,0.0004
-2.8080e-04,-9.8,0.0004
-2.8064e-04,-9.8,0.0002
-2.8048e-04,-9.8,0.0006
-2.8032e-04,-10,0.0006
-2.8016e-04,-9.8,0.0006
-2.8000e-04,-9.8,0.0006
-2.7984e-04,-9.8,0.0004
-2.7968e-04,-9.8,0.0004
-2.7952e-04,-9.8,0.0004
-2.7936e-04,-9.8,0.0006
-2.7920e-04,-9.8,0.0004
-2.7904e-04,-9.8,0.0006
-2.7888e-04,-9.8,0.0006
-2.7872e-04,-10,0.0004
-2.7856e-04,-9.8,0.0004
-2.7840e-04,-9.8,0.0008
-2.7824e-04,-9.8,0.0004
-2.7808e-04,-9.8,0.0004
-2.7792e-04,-9.8,0.0006
-2.7776e-04,-9.8,0.0004
-2.7760e-04,-9.8,0.0006
-2.7744e-04,-10,0.0004
-2.7728e-04,-10,0.0004
-2.7712e-04,-9.8,0.0004
-2.7696e-04,-9.8,0.0004
-2.7680e-04,-9.8,0.0004
-2.7664e-04,-9.8,0.0004
-2.7648e-04,-9.8,0.0002
-2.7632e-04,-9.8,0.0004
-2.7616e-04,-9.8,0.0002
-2.7600e-04,-9.8,0.0006
-2.7584e-04,-10,0.0008
-2.7568e-04,-9.8,0.0004
-2.7552e-04,-9.8,0.0002
-2.7536e-04,-9.8,0.0006
-2.7520e-04,-9.8,0.0006
-2.7504e-04,-9.8,0.0004
-2.7488e-04,-9.8,0.0004
-2.7472e-04,-9.8,0.0004
-2.7456e-04,-9.8,0.0008
-2.7440e-04,-9.8,0.0006
-2.7424e-04,-9.8,0.0004
-2.7408e-04,-9.8,0.0004
-2.7392e-04,-9.8,0.0004
-2.7376e-04,-9.8,0.0006
-2.7360e-04,-9.8,0.0004
-2.7344e-04,-9.8,0.0004
-2.7328e-04,-9.8,0.0008
-2.7312e-04,-9.8,0.0004
-2.7296e-04,-9.8,0.0006
-2.7280e-04,-9.8,0.0006
-2.7264e-04,-9.8,0.0002
-2.7248e-04,-9.8,0.0006
-2.7232e-04,-9.8,0.0004
-2.7216e-04,-9.8,0.0006
-2.7200e-04,-9.8,0.0006
-2.7184e-04,-9.8,0.0004
-2.7168e-04,-10,0.0004
-2.7152e-04,-9.8,0.0002
-2.7136e-04,-9.8,0.0004
-2.7120e-04,-9.8,0.0006
-2.7104e-04,-9.8,0.0006
-2.7088e-04,-9.8,0.0006
-2.7072e-04,-9.8,0.0006
-2.7056e-04,-9.8,0.0006
-2.7040e-04,-10,0.0006
-2.7024e-04,-9.8,0.0004
-2.7008e-04,-9.8,0.0008
-2.6992e-04,-9.8,0.0004
-2.6976e-04,-9.8,0.0002
-2.6960e-04,-9.8,0.0004
-2.6944e-04,-9.8,0.0004
-2.6928e-04,-9.8,0.0006
-2.6912e-04,-9.8,0.0006
-2.6896e-04,-9.8,0.0004
-2.6880e-04,-9.8,0.0006
-2.6864e-04,-9.8,0.0004
-2.6848e-04,-9.8,0.0004
-2.6832e-04,-9.8,0.0002
-2.6816e-04,-9.8,0.0004
-2.6800e-04,-9.8,0.0006
-2.6784e-04,-9.8,0.0006
-2.6768e-04,-9.8,0.0006
-2.6752e-04,-9.8,0.0004
-2.6736e-04,-9.8,0.0002
-2.6720e-04,-10,0.0006
-2.6704e-04,-10,0.0006
-2.6688e-04,-9.8,0.0004
-2.6672e-04,-10,0.0006
-2.6656e-04,-9.8,0.0008
-2.6640e-04,-9.8,0.0006
-2.6624e-04,-10,0.0004
-2.6608e-04,-9.8,0.0006
-2.6592e-04,-9.8,0.0004
-2.6576e-04,-9.8,0.0004
-2.6560e-04,-9.8,0.0004
-2.6544e-04,-9.8,0.0002
-2.6528e-04,-9.8,0.0006
-2.6512e-04,-9.8,0.0004
-2.6496e-04,-9.8,0.0006
-2.6480e-04,-9.8,0.0004
-2.6464e-04,-9.8,0.0006
-2.6448e-04,-9.8,0.0006
-2.6432e-04,-10,0.0004
-2.6416e-04,-9.8,0.0008
-2.6400e-04,-9.8,0.0006
-2.6384e-04,-9.8,0.0002
-2.6368e-04,-9.8,0.0004
-2.6352e-04,-9.8,0.0004
-2.6336e-04,-9.8,0.0006
-2.6320e-04,-9.8,0.0004
-2.6304e-04,-9.8,0.0004
-2.6288e-04,-9.8,0.0004
-2.6272e-04,-9.8,0.0004
-2.6256e-04,-9.8,0.0004
-2.6240e-04,-9.8,0.0004
-2.6224e-04,-9.8,0.0006
-2.6208e-04,-9.8,0.0006
-2.6192e-04,-9.8,0.0006
-2.6176e-04,-9.8,0.0004
-2.6160e-04,-10,0.0004
-2.6144e-04,-9.8,0.0004
-2.6128e-04,-9.8,0.0004
-2.6112e-04,-9.8,0.0002
-2.6096e-04,-10,0.0006
-2.6080e-04,-9.8,0.0004
-2.6064e-04,-9.8,0.0002
-2.6048e-04,-9.8,0.0004
-2.6032e-04,-9.8,0.0004
-2.6016e-04,-9.8,0.0004
-2.6000e-04,-9.8,0.0006
-2.5984e-04,-9.8,0.0006
-2.5968e-04,-9.8,0.0006
-2.5952e-04,-9.8,0.0002
-2.5936e-04,-9.8,0.0004
-2.5920e-04,-9.8,0.0004
-2.5904e-04,-9.8,0.0006
-2.5888e-04,-9.8,0.0006
-2.5872e-04,-9.8,0.0004
-2.5856e-04,-9.8,0.0006
-2.5840e-04,-9.8,0.0004
-2.5824e-04,-9.8,0.0006
-2.5808e-04,-9.8,0.0004
-2.5792e-04,-9.8,0.0004
-2.5776e-04,-9.8,0.0004
-2.5760e-04,-9.8,0.0006
-2.5744e-04,-9.8,0.0006
-2.5728e-04,-9.8,0.0004
-2.5712e-04,-9.8,0.0004
-2.5696e-04,-9.8,0.0004
-2.5680e-04,-9.8,0.0004
-2.5664e-04,-9.8,0.0006
-2.5648e-04,-9.8,0.0004
-2.5632e-04,-9.8,0.0006
-2.5616e-04,-9.8,0.0004
-2.5600e-04,-10,0.0002
-2.5584e-04,-9.8,0.0002
-2.5568e-04,-10,0.0006
-2.5552e-04,-9.8,0.0006
-2.5536e-04,-9.8,0.0006
-2.5520e-04,-9.8,0.0004
-2.5504e-04,-9.8,0.0004
-2.5488e-04,-9.8,0.0004
-2.5472e-04,-9.8,0.0002
-2.5456e-04,-9.8,0.0006
-2.5440e-04,-9.8,0.0004
-2.5424e-04,-9.8,0.0004
-2.5408e-04,-9.8,0.0004
-2.5392e-04,-9.8,0.0004
-2.5376e-04,-9.8,0.0006
-2.5360e-04,-9.8,0.0004
-2.5344e-04,-9.8,0.0002
-2.5328e-04,-9.8,0.0002
-2.5312e-04,-9.8,0.0006
-2.5296e-04,-9.8,0.0006
-2.5280e-04,-10,0.0004
-2.5264e-04,-9.8,0.0006
-2.5248e-04,-9.8,0.0004
-2.5232e-04,-9.8,0.0004
-2.5216e-04,-9.8,0.0006
-2.5200e-04,-9.8,0.0006
-2.5184e-04,-9.8,0.0006
-2.5168e-04,-9.8,0.0004
-2.5152e-04,-9.8,0.0006
-2.5136e-04,-9.8,0.0004
-2.5120e-04,-9.8,0
-2.5104e-04,-9.8,0.0002
-2.5088e-04,-9.8,0.0004
-2.5072e-04,-9.8,0.0006
-2.5056e-04,-9.8,0.0004
-2.5040e-04,-10,0.0004
-2.5024e-04,-10,0.0004
-2.5008e-04,-9.8,0.0002
-2.4992e-04,-9.8,0.0006
-2.4976e-04,-9.8,0.0004
-2.4960e-04,-9.8,0.0006
-2.4944e-04,-9.8,0.0006
-2.4928e-04,-9.8,0.0006
-2.4912e-04,-9.8,0.0004
-2.4896e-04,-9.8,0.0004
-2.4880e-04,-9.8,0.0004
-2.4864e-04,-9.8,0.0004
-2.4848e-04,-9.8,0.0006
-2.4832e-04,-9.8,0.0006
-2.4816e-04,-9.8,0.0004
-2.4800e-04,-9.8,0.0004
-2.4784e-04,-9.8,0.0004
-2.4768e-04,-9.8,0.0006
-2.4752e-04,-9.8,0.0004
-2.4736e-04,-9.8,0.0006
-2.4720e-04,-9.8,0.0006
-2.4704e-04,-9.8,0.0008
-2.4688e-04,-9.8,0.0004
-2.4672e-04,-9.8,0.0004
-2.4656e-04,-9.8,0.0002
-2.4640e-04,-9.8,0.0002
-2.4624e-04,-9.8,0.0006
-2.4608e-04,-9.8,0.0008
-2.4592e-04,-9.8,0.0008
-2.4576e-04,-9.8,0.0006
-2.4560e-04,-9.8,0.0004
-2.4544e-04,-9.8,0.0004
-2.4528e-04,-9.8,0.0002
-2.4512e-04,-9.8,0.0004
-2.4496e-04,-9.8,0.0002
-2.4480e-04,-9.8,0.0008
-2.4464e-04,-9.8,0.0006
-2.4448e-04,-9.8,0.0004
-2.4432e-04,-9.8,0.0004
-2.4416e-04,-9.8,0.0004
-2.4400e-04,-9.8,0.0006
-2.4384e-04,-9.8,0.0004
-2.4368e-04,-9.8,0.0006
-2.4352e-04,-9.8,0.0004
-2.4336e-04,-9.8,0.0002
-2.4320e-04,-9.8,0.0004
-2.4304e-04,-9.8,0.0004
-2.4288e-04,-9.8,0.0002
-2.4272e-04,-9.8,0.0004
-2.4256e-04,-9.8,0.0006
-2.4240e-04,-9.8,0.0004
-2.4224e-04,-9.8,0.0004
-2.4208e-04,-9.8,0.0002
-2.4192e-04,-9.8,0.0004
-2.4176e-04,-9.8,0.0006
-2.4160e-04,-9.8,0.0004
-2.4144e-04,-9.8,0.0006
-2.4128e-04,-9.8,0.0006
-2.4112e-04,-9.8,0.0006
